iter	Passed	Remaining
436	1428	1840
437	1431	1836
438	1434	1833
439	1437	1829
440	1440	1826
441	1443	1822
442	1447	1819
443	1450	1815
444	1453	1812
445	1456	1809
446	1459	1805
447	1462	1802
448	1466	1799
449	1470	1797
450	1475	1796
451	1481	1796
452	1487	1796
453	1492	1794
454	1495	1791
455	1499	1788
456	1503	1786
457	1509	1786
458	1515	1786
459	1518	1783
460	1522	1779
461	1525	1776
462	1529	1774
463	1535	1773
464	1539	1770
465	1542	1767
466	1546	1764
467	1549	1761
468	1554	1759
469	1559	1758
470	1563	1756
471	1567	1752
472	1570	1749
473	1574	1747
474	1578	1745
475	1583	1743
476	1587	1740
477	1591	1737
478	1594	1734
479	1598	1731
480	1602	1729
481	1607	1727
482	1611	1725
483	1615	1722
484	1618	1718
485	1622	1715
486	1627	1713
487	1631	1712
488	1636	1710
489	1640	1707
490	1643	1703
491	1647	1701
492	1652	1699
493	1657	1698
494	1661	1695
495	1665	1692
496	1669	1689
497	1673	1687
498	1678	1685
499	1683	1683
500	1686	1680
501	1690	1677
502	1694	1674
503	1699	1672
504	1703	1670
505	1707	1667
506	1712	1664
507	1716	1662
508	1720	1660
509	1725	1658
510	1730	1655
511	1733	1652
512	1737	1649
513	1740	1646
514	1745	1643
515	1750	1641
516	1754	1639
517	1758	1636
518	1762	1633
519	1765	1629
520	1770	1627
521	1775	1625
522	1779	1622
523	1782	1619
524	1786	1616
525	1790	1613
526	1795	1611
527	1800	1609
528	1804	1606
529	1808	1603
530	1811	1600
531	1815	1597
532	1820	1595
533	1825	1592
534	1829	1589
535	1832	1586
536	1836	1583
537	1840	1580
538	1844	1577
539	1850	1576
540	1854	1573
541	1859	1571
542	1864	1569
543	1869	1567
544	1875	1565
545	1880	1563
546	1884	1560
547	1890	1559
548	1895	1557
549	1900	1555
550	1905	1552
551	1910	1550
552	1915	1548
553	1921	1546
554	1926	1544
555	1929	1541
556	1933	1537
557	1937	1534
558	1943	1533
559	1948	1531
560	1954	1529
561	1958	1526
562	1963	1524
563	1969	1522
564	1975	1520
565	1979	1518
566	1985	1516
567	1991	1514
568	1996	1512
