date,event
2018-04-01,J-1 Pont paques
2018-04-03,J+1 Pont paques
2018-04-04,J+2 Pont paques
2018-04-29,J-2 Pont 1er mai
2018-04-30,J-1 Pont 1er mai
2018-05-02,J+1 Pont 1er mai
2018-05-03,J+2 Pont 1er mai
2018-05-05,Allocation impactante
2018-05-06,J-2 Pont 8 mai
2018-05-07,J-1 Pont 8 mai
2018-05-08,J-2 Pont Ascension
2018-05-09,J-1 Pont Ascension
2018-05-09,J+1 Pont 8 mai
2018-05-10,J+2 Pont 8 mai
2018-05-11,J+1 Pont Ascension
2018-05-12,J+2 Pont Ascension
2018-05-16,Ramadan
2018-05-18,J-3 VENDREDI PENTECOTE
2018-05-19,J-2 Pont Pentecote
2018-05-20,J-1 Pont Pentecote
2018-05-22,J+1 Pont Pentecote
2018-05-23,J+2 Pont Pentecote
2018-05-28,J+1 FETES DES MERES
